period_key,report_period,period_type,report_year,report_month,page_url,excel_url,publish_date,publish_date_source,breeding_sow_inventory,breeding_sow_inventory_unit,breeding_sow_inventory_indicator_raw,breeding_sow_inventory_mom,breeding_sow_inventory_yoy,breeding_sow_inventory_period_type,hog_exfarm_price,hog_exfarm_price_unit,hog_exfarm_price_indicator_raw,hog_exfarm_price_mom,hog_exfarm_price_yoy,parsing_source,raw_html_path,raw_excel_path,validation_flag,validation_notes
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,,,2021年3月末定点监测能繁母猪存栏,0.016,0.453,missing,28.81,元/公斤,2021年3月份全国生猪出场价格（元/公斤）,-0.096,-0.211,html_table,data/raw/moa_hog_monthly/page_html/2021_Q1.html,data/raw/moa_hog_monthly/excel_files/2021_Q1.xlsx,sow_inventory_missing,能繁母猪存栏未提供绝对值:2021年3月末定点监测能繁母猪存栏
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,,,2021年4月末定点监测能繁母猪存栏,0.011,0.399,missing,24.73,元/公斤,2021年4月份全国生猪出场价格（元/公斤）,-0.142,-0.274,html_table,data/raw/moa_hog_monthly/page_html/2021-04.html,data/raw/moa_hog_monthly/excel_files/2021-04.xlsx,sow_inventory_missing,能繁母猪存栏未提供绝对值:2021年4月末定点监测能繁母猪存栏
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,,,2021年5月末定点监测能繁母猪存栏变化,0.008,0.357,missing,21.33,元/公斤,2021年5月份全国生猪出场价格（元/公斤）,-0.137,-0.293,html_table,data/raw/moa_hog_monthly/page_html/2021-05.html,data/raw/moa_hog_monthly/excel_files/2021-05.xlsx,sow_inventory_missing,能繁母猪存栏未提供绝对值:2021年5月末定点监测能繁母猪存栏变化
2021-06,2021-06,month,2021,6,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202107/P020210730669321197541.xlsx,2021-07-30,excel_url_token,,,2021年6月末定点监测能繁母猪存栏变化,0.0,0.301,missing,16.5,元/公斤,2021年6月份全国生猪出场价格（元/公斤）,-0.226,-0.485,html_table,data/raw/moa_hog_monthly/page_html/2021-06.html,data/raw/moa_hog_monthly/excel_files/2021-06.xlsx,sow_inventory_missing,能繁母猪存栏未提供绝对值:2021年6月末定点监测能繁母猪存栏变化
2021-07,2021-07,month,2021,7,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202107/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202108/P020210831565011441814.xlsx,2021-08-31,excel_url_token,,,2021年7月末定点监测能繁母猪存栏变化,-0.005,0.245,missing,16.43,元/公斤,2021年7月份全国生猪出场价格（元/公斤）,-0.004,-0.552,html_table,data/raw/moa_hog_monthly/page_html/2021-07.html,data/raw/moa_hog_monthly/excel_files/2021-07.xlsx,sow_inventory_missing,能繁母猪存栏未提供绝对值:2021年7月末定点监测能繁母猪存栏变化
2021-08,2021-08,month,2021,8,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202108/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202109/P020210929513381706724.xlsx,2021-09-29,excel_url_token,,,2021年8月末定点监测能繁母猪存栏变化,-0.009,0.192,missing,15.9,元/公斤,2021年8月份全国生猪出场价格（元/公斤）,-0.032,-0.573,html_table,data/raw/moa_hog_monthly/page_html/2021-08.html,data/raw/moa_hog_monthly/excel_files/2021-08.xlsx,sow_inventory_missing,能繁母猪存栏未提供绝对值:2021年8月末定点监测能繁母猪存栏变化
2021-09,2021-09,month,2021,9,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202109/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202110/P020211029572082672719.xlsx,2021-10-29,excel_url_token,4459.0,万头,2021年三季度末能繁母猪存栏（万头）,-0.023,0.167,quarter_end_stock,13.89,元/公斤,2021年9月份全国生猪出场价格（元/公斤）,-0.126,-0.612,html_table,data/raw/moa_hog_monthly/page_html/2021-09.html,data/raw/moa_hog_monthly/excel_files/2021-09.xlsx,ok,
2021-10,2021-10,month,2021,10,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202110/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202111/P020211126639481801205.xlsx,2021-11-26,excel_url_token,4348.0,万头,2021年10月末能繁母猪存栏（万头）,-0.025,0.066,quarter_end_stock,14.32,元/公斤,2021年10月份全国生猪出场价格（元/公斤）,0.031,-0.538,html_table,data/raw/moa_hog_monthly/page_html/2021-10.html,data/raw/moa_hog_monthly/excel_files/2021-10.xlsx,ok,
2021-11,2021-11,month,2021,11,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202111/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202112/P020211230393423531912.xlsx,2021-12-30,excel_url_token,4296.0,万头,2021年11月末能繁母猪存栏（万头）,-0.012,0.047,quarter_end_stock,17.88,元/公斤,2021年11月份全国生猪出场价格（元/公斤）,0.249,-0.408,html_table,data/raw/moa_hog_monthly/page_html/2021-11.html,data/raw/moa_hog_monthly/excel_files/2021-11.xlsx,ok,
2021-12,2021-12,month,2021,12,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021/202112/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202201/P020220127536079209998.xlsx,2022-01-27,excel_url_token,4329.0,万头,2021年4季度末能繁母猪存栏（万头）,-0.029,0.04,quarter_end_stock,17.95,元/公斤,2021年12月份全国生猪出场价格（元/公斤）,0.004,-0.465,html_table,data/raw/moa_hog_monthly/page_html/2021-12.html,data/raw/moa_hog_monthly/excel_files/2021-12.xlsx,ok,
