period_key,report_period,period_type,report_year,report_month,page_url,excel_url,publish_date,publish_date_source,table_index,indicator_category,indicator_seq,indicator_name_raw,indicator_name_normalized,indicator_unit,indicator_value_raw,indicator_value,mom_raw,mom,yoy_raw,yoy,parsing_source
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,1,生产,1,2021年3月末定点监测能繁母猪存栏,2021年3月末定点监测能繁母猪存栏,,—,,1.6%,0.016,45.3%,0.453,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,1,生产,2,2021年1季度末生猪存栏（万头）,2021年1季度末生猪存栏（万头）,万头,41595,41595.0,2.3%,0.023,29.5%,0.295,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,1,生产,3,2021年1季度生猪出栏（万头）,2021年1季度生猪出栏（万头）,万头,17143,17143.0,—,,30.6%,0.306,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,1,生产,4,2021年1季度规模以上生猪定点屠宰企业屠宰量（万头）,2021年1季度规模以上生猪定点屠宰企业屠宰量（万头）,万头,4885,4885.0,—,,39.1%,0.391,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,1,生产,5,2021年1季度猪肉产量（万吨）,2021年1季度猪肉产量（万吨）,万吨,1369,1369.0,—,,31.9%,0.319,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,2,价格,1,2021年3月份全国二元母猪销售价格（元/公斤）,2021年3月份全国二元母猪销售价格（元/公斤）,元/公斤,74.53,74.53,-0.3%,-0.003,7.1%,0.071,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,2,价格,2,2021年3月份全国仔猪价格（元/公斤）,2021年3月份全国仔猪价格（元/公斤）,元/公斤,93.27,93.27,2.7%,0.027,2.2%,0.022,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,2,价格,3,2021年3月份全国生猪出场价格（元/公斤）,2021年3月份全国生猪出场价格（元/公斤）,元/公斤,28.81,28.81,-9.6%,-0.096,-21.1%,-0.211,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,2,价格,4,2021年3月份全国批发市场白条猪价格（元/公斤）,2021年3月份全国批发市场白条猪价格（元/公斤）,元/公斤,37.39,37.39,-13.8%,-0.138,-21.8%,-0.218,html_table
2021Q1,2021Q1,quarter,2021,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2021yjd/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/P020210520376354092169.xlsx,2021-05-20,excel_url_token,2,价格,5,2021年3月份36个大中城市批发市场白条猪价格（元/公斤）,2021年3月份36个大中城市批发市场白条猪价格（元/公斤）,元/公斤,37.16,37.16,-12.8%,-0.128,-23.5%,-0.235,html_table
