article_url,title,publish_date,report_period,report_year,report_month,period_type,sample_scope,sub_period_label,hog_inventory_mom_pct,hog_inventory_yoy_pct,breeding_sow_inventory_mom_pct,breeding_sow_inventory_yoy_pct,raw_html_path,raw_text_path,validation_flag,validation_notes
https://scs.moa.gov.cn/jcyj/201802/t20180213_6410348.htm,2018年1月份400个监测县生猪存栏信息,2018-02-13,2018-01,2018,1,month,400个监测县,,-0.012,-0.032,-0.003,-0.049,data/raw/scs_hog_inventory_articles/article_html/2018-02-13_01.html,data/raw/scs_hog_inventory_articles/article_text/2018-02-13_01.txt,ok,
https://scs.moa.gov.cn/jcyj/201803/t20180315_6410360.htm,2018年2月份生猪存栏信息,2018-03-14,2018-02,2018,2,month,unknown_scope,,-0.015,-0.047,-0.005,-0.05,data/raw/scs_hog_inventory_articles/article_html/2018-03-14_02.html,data/raw/scs_hog_inventory_articles/article_text/2018-03-14_02.txt,ok,
https://scs.moa.gov.cn/jcyj/201804/t20180418_6410380.htm,2018年1—3月份400个监测县生猪存栏信息,2018-04-16,2018-01,2018,1,month_from_quarter_range,400个监测县,1月,,-0.001,,-0.012,data/raw/scs_hog_inventory_articles/article_html/2018-04-16_03.html,data/raw/scs_hog_inventory_articles/article_text/2018-04-16_03.txt,missing_metrics,"missing:hog_inventory_mom_pct,breeding_sow_inventory_mom_pct"
https://scs.moa.gov.cn/jcyj/201804/t20180418_6410380.htm,2018年1—3月份400个监测县生猪存栏信息,2018-04-16,2018-02,2018,2,month_from_quarter_range,400个监测县,2月,-0.009,-0.008,0.0,-0.008,data/raw/scs_hog_inventory_articles/article_html/2018-04-16_03.html,data/raw/scs_hog_inventory_articles/article_text/2018-04-16_03.txt,ok,
https://scs.moa.gov.cn/jcyj/201804/t20180418_6410380.htm,2018年1—3月份400个监测县生猪存栏信息,2018-04-16,2018-03,2018,3,month_from_quarter_range,400个监测县,3月,0.014,-0.003,0.001,-0.008,data/raw/scs_hog_inventory_articles/article_html/2018-04-16_03.html,data/raw/scs_hog_inventory_articles/article_text/2018-04-16_03.txt,ok,
https://scs.moa.gov.cn/jcyj/201805/t20180515_6410397.htm,2018年4月份生猪存栏信息,2018-05-14,2018-04,2018,4,month,unknown_scope,,-0.008,-0.015,-0.014,-0.021,data/raw/scs_hog_inventory_articles/article_html/2018-05-14_04.html,data/raw/scs_hog_inventory_articles/article_text/2018-05-14_04.txt,ok,
https://scs.moa.gov.cn/jcyj/201806/t20180615_6410418.htm,2018年5月份400个监测县生猪存栏信息,2018-06-15,2018-05,2018,5,month,400个监测县,,-0.019,-0.02,-0.025,-0.039,data/raw/scs_hog_inventory_articles/article_html/2018-06-15_05.html,data/raw/scs_hog_inventory_articles/article_text/2018-06-15_05.txt,ok,
https://scs.moa.gov.cn/jcyj/201807/t20180719_6410437.htm,2018年6月份400个监测县生猪存栏信息,2018-07-19,2018-06,2018,6,month,400个监测县,,-0.012,-0.018,-0.013,-0.029,data/raw/scs_hog_inventory_articles/article_html/2018-07-19_06.html,data/raw/scs_hog_inventory_articles/article_text/2018-07-19_06.txt,ok,
https://scs.moa.gov.cn/jcyj/201808/t20180816_6410452.htm,2018年7月份400个监测县生猪存栏信息,2018-08-16,2018-07,2018,7,month,400个监测县,,-0.008,-0.02,-0.019,-0.04,data/raw/scs_hog_inventory_articles/article_html/2018-08-16_07.html,data/raw/scs_hog_inventory_articles/article_text/2018-08-16_07.txt,ok,
https://scs.moa.gov.cn/jcyj/201809/t20180919_6410464.htm,2018年8月份400个监测县生猪存栏信息,2018-09-19,2018-08,2018,8,month,400个监测县,,-0.003,-0.024,-0.011,-0.048,data/raw/scs_hog_inventory_articles/article_html/2018-09-19_08.html,data/raw/scs_hog_inventory_articles/article_text/2018-09-19_08.txt,ok,
